         72940 function calls (71769 primitive calls) in 0.269 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      706    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        4    0.000    0.000    0.000    0.000 process.py:80(__init__)
      629    0.000    0.000    0.000    0.000 inspect.py:182(ismodule)
        4    0.000    0.000    0.000    0.000 linecache.py:36(getlines)
        6    0.000    0.000    0.000    0.000 util.py:186(__init__)
        2    0.000    0.000    0.000    0.000 pool.py:468(_map_async)
        1    0.000    0.000    0.000    0.000 pool.py:173(Pool)
        1    0.000    0.000    0.000    0.000 queues.py:1(<module>)
        1    0.000    0.000    0.000    0.000 linecache.py:80(updatecache)
      510    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      549    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      381    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        6    0.000    0.000    0.000    0.000 connection.py:186(send_bytes)
        8    0.000    0.000    0.000    0.000 threading.py:236(__init__)
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      158    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      443    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
        1    0.000    0.000    0.000    0.000 tokenize.py:390(open)
       12    0.000    0.000    0.000    0.000 util.py:171(register_after_fork)
      478    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
      188    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       12    0.000    0.000    0.000    0.000 random.py:519(<listcomp>)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        6    0.000    0.000    0.000    0.000 connection.py:521(Pipe)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       12    0.000    0.000    0.000    0.000 weakref.py:165(__setitem__)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        6    0.000    0.000    0.000    0.000 connection.py:395(_send_bytes)
      750    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        2    0.000    0.000    0.000    0.000 pool.py:793(__init__)
        6    0.000    0.000    0.000    0.000 reduction.py:48(dumps)
      205    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        4    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
       26    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       62    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
      305    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      275    0.000    0.000    0.000    0.000 posixpath.py:52(normcase)
       12    0.000    0.000    0.000    0.000 tempfile.py:142(rng)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
        4    0.000    0.000    0.000    0.000 threading.py:1162(is_alive)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
       10    0.000    0.000    0.000    0.000 threading.py:1095(_wait_for_tstate_lock)
      394    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
        2    0.000    0.000    0.000    0.000 pool.py:744(__init__)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1347(_path_importer_cache)
        8    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
      214    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
        4    0.000    0.000    0.000    0.000 util.py:433(_flush_std_streams)
       55    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
        6    0.000    0.000    0.000    0.000 threading.py:1294(_make_invoke_excepthook)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       14    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
       59    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        6    0.000    0.000    0.000    0.000 threading.py:1057(join)
        1    0.000    0.000    0.000    0.000 tempfile.py:638(SpooledTemporaryFile)
        2    0.000    0.000    0.000    0.000 memory_profiler.py:702(__init__)
